"experiment","model","condition","variance_level","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp4","combined","average","3",0.62659394010366,0.0215104714334787,116.861578822653,0.583993051364904,0.669194828842416,29.1297167540659,2.0489359649505e-55
"exp4","combined","experience","3",0.622679762633412,0.0216120099426255,114.428007722791,0.579868255046139,0.665491270220686,28.8117470002314,2.82967589690306e-54
"exp4","combined","average","5",0.660257689510423,0.0218410130391937,124.195519633965,0.617028877237032,0.703486501783814,30.2301769760217,4.1674365338738e-59
"exp4","combined","experience","5",0.617262212337709,0.0218464968475613,119.499471554426,0.574005823673139,0.660518601002279,28.2545168062775,9.77855217227252e-55
"exp4","combined","average","7",0.621510403507511,0.0220138786498927,128.099689870184,0.577952507001828,0.665068300013193,28.2326623759481,7.60072625320555e-57
"exp4","combined","experience","7",0.5926704501031,0.0219996683131578,122.859584695657,0.549122961161557,0.636217939044642,26.9399720789712,2.14480646246563e-53
"exp4","experience","experience","3",0.622003267452112,0.0216570028138044,56.441161014283,0.578626559465439,0.665379975438784,28.7206532131788,2.26880646149617e-35
"exp4","experience","experience","5",0.61653884795503,0.0218865345771774,58.8842094827675,0.572742191461849,0.66033550444821,28.1697792668346,7.21079076933966e-36
"exp4","experience","experience","7",0.592003051794476,0.0220385142754689,60.5243782666702,0.547927313962122,0.63607878962683,26.8622033406959,2.4814952303487e-35
"exp4","average","average","3",0.626690685732196,0.0216154613144216,59.0090154511978,0.583438385810881,0.66994298565351,28.9927046485968,1.32243861051247e-36
"exp4","average","average","5",0.660473370945723,0.0219501650051684,62.7404976775021,0.616605915423283,0.704340826468162,30.0896768106393,5.4397303085516e-39
"exp4","average","average","7",0.621809434651564,0.0221190327081798,64.6594007511491,0.57763026418575,0.665988605117377,28.111963251522,5.75491355655097e-38
