"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","instruction_exp","instruction_interpretation","rt","url","view_history","responses","stimulus","key_press","Name","config","type","prompt","step","max","start","on_load","data","min","labels","button_label","stimulus_duration","trial_duration","response_ends_trial","imageSelected","indexSelected","exp_type","fixationTime","faceIdentity","array_length","array_values","meanVal","description","trial","color","question_order"
"pavlovia","0","5","0.0-0.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","55279","0.0-1.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","54905.89999999851","external_page.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","115744","0.0-2.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","60462.300000000745","","[{""page_index"":0,""viewing_time"":18669.5},{""page_index"":1,""viewing_time"":19911.60000000149},{""page_index"":2,""viewing_time"":15169.5},{""page_index"":3,""viewing_time"":6710.29999999702}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","124688","0.0-3.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","8933.900000002235","","","{""Q0"":""67f05b55b86cee54bc4ded6a""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","137589","0.0-4.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","12900.300000000745","","[{""page_index"":0,""viewing_time"":12899.900000002235}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","5","171470","0.0-5.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","33877.5","","","{""Q0"":""Girraffes in the jungle""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","184813","0.0-6.0-0.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","13340.5","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","7","203773","0.0-6.1-0.1","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","8388","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","204185","0.0-7.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","null","","","","<p style=""font-size: 48px;""> + </p>","null","fixation","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","205696","0.0-8.0","67f05b55b86cee54bc4ded6a","choosing color","to adjust the scale on how the trial felt to me","null","","","","<span class='grid'><div class='red' style='background-position:3400% 0%;margin-top:36px'></div> <div> </div> <div> </div> <div class='red' style='background-position:3800% 0%;margin-top:37px'></div> <div> </div> <div class='red' style='background-position:4300% 0%;margin-top:29px'></div> <div> </div> <div class='red' style='background-position:4600% 0%;margin-top:22px'></div> <div class='red' style='background-position:3700% 0%;margin-top:33px'></div> <div class='red' style='background-position:3600% 0%;margin-top:22px'></div> <div class='red' style='background-position:3200% 0%;margin-top:33px'></div> <div class='red' style='background-position:4500% 0%;margin-top:37px'></div> <div> </div> <div class='red' style='background-position:3500% 0%;margin-top:47px'></div> <div> </div> <div> </div> <div> </div> <div> </div></span>","null","stimulus","","","","","","","","","","","","","","","","","","","","","","","","","",""
